gid spike-times
42 669.4152455849221,2033.502812233586,2063.3687457919714,2812.963344308954,4990.485992055561,5082.817612612242,6908.18784658565,7175.166255328183,9024.800813906666,9067.037043462016,10071.66942965293,13477.250666213791
43 1188.8312740680385,2309.7884729994794,3705.8380351025667,4280.892268561247,4514.2414899312635,8207.68184638128,10139.548371366804,12354.095744787193,13371.010831219137
44 2240.7171436983435,4379.968316564766,9155.78919701206,9663.73463555058,11180.861261152579,11935.785981330286,12081.32128596436,12728.691739523378,12738.62847990707
45 395.6824653230366,1445.4733901570667,3597.8396792963827,4145.294656630108,9073.305306545812,14547.632586693806
46 7504.175943616569,10134.017858767691,11815.27600169984,13081.525025402705
47 8015.9979428769675,9467.61855616513,10330.99605938226,10392.8171945453
48 249.67308503328283,3609.3322850586806,3723.416640285635,5920.010038670091,13431.283628529873,13519.474946043882,14084.788476048938,14668.62250371228
49 2004.0302522254735,2478.2013672599314,6261.654658084339,6824.214445257599,7573.501372646434,9837.598681058269,10805.682582043926,11703.098835741703,12975.811923491929,13210.72424815853
50 500.70767355228264,4066.149038338187,6689.74728069668,7140.836326576791,9200.977420433315,11172.491661881959,13289.769580746228,13714.932770500385
51 1683.4394603422095,2128.257110904182,2176.5011162611045,4801.482641187136,5487.144489034343,5921.241472858288,5957.676223564786,9995.96639141997,11691.448597525889,12813.568230134408,13834.47150142183,14492.330775782253
52 1868.7307061770894,5952.780329541056,5994.384143328507,10166.034420412258,10284.882465122537,12713.54258708708,13025.965981651387,14056.21904446456
53 7075.3952717344755,8046.647291305333,13908.819931484439
54 3670.7007873338944,5140.8111657755835,5619.028761532908,11082.997413994992,11114.203234257484,12770.346307566579,14475.812672494267,14738.227899792106
55 2497.5715917174048,3316.7445364106543,3960.9660740517575,7480.1507017170015,9236.463191371595,10420.611725829527,11612.171302997453,12522.174239461961,13292.974499957127
56 360.55804585125406,6630.095224974537,7561.593176717869,11085.887184335312,13039.504812720585,13459.3722327709
57 4332.766805146526,10656.415894005946,11668.470420092062,12230.347620301165
58 505.0000515344023,1065.2368450013157,3306.2857965770036,3364.7934374169754,5387.913227430102,6027.208359452186,10727.622193346599
59 1314.2578523658153,3190.4626202257523,8842.359295849914,11218.10028395453
60 731.231927094616,806.0319240935164,9207.298863552654,12349.465382105369,13835.837305822573
61 2673.419111047488,3182.5230645988863,9403.435863409135,14597.557583624242
62 361.60891940681427,1928.9924501314524,3516.14683293635,4128.45264158899,5092.8133617554695,5352.600906960053,7831.591619139677,8726.685635805403,11080.247739359607
63 6203.651229725758,10234.936882255879,11672.749588877085,14940.109273083059
64 113.59920766565455,878.7302403855908,1402.5583373161949,1454.3616625552854,2153.2466754218717,6145.02061656524,13495.832915488621,13803.847823429087
65 332.940563364425,2141.6838728106122,2238.024916579391,6413.919195215701,10957.256238374182
66 1009.9832968749291,5206.449957376357,7026.332061499964,9819.498868658571,10405.864337392817,12716.28220438991,14943.4861169191
67 4073.0721238589567,4485.483302366917,10181.926373494654,10759.237123127727,10765.869468478453,12254.014799400378,13940.632659255725
68 493.05813885126423,628.3506947143649,1965.6494136288409,7142.76620609232,7603.728153749037,7819.857851027632,11350.914024264144,14529.559856985888
69 57.839199273256426,575.3544233696546,5330.474866127723,5423.954374993532,9253.469392901905,9858.439118305345,11389.080741962338,12047.606955243193,14529.758756491792
70 2385.5409757800826,6111.899233982946,7523.4174916013935,11260.33446571687,11516.259211712586,13182.995203445396,14755.236785341835
71 8991.767934956908,10609.741598384207,11100.796929706852
72 919.527965066308,4446.764984634062,5146.115583901284,5394.604236233548,10083.396358964714,10941.403920282854,14226.134984361788
73 1111.4492623824979,1362.0972874116264,1909.2391931758248,2766.635577158485,8154.9877709310895,8179.7021566110625,9694.607327165271,10378.540320970593
74 5672.309440674274,6163.850493616378,7525.780708190344,7532.231767894956,8557.232815139396,12548.160956323929,14062.220623664809
75 12.07096669180651,345.2524992826435,1792.5138338987422,2433.8822262018766,2761.9209357556847,3826.100995104358,3908.339190531861,9339.406634733212,14988.949550679616
76 1394.751314020934,7184.814026846226,10104.31482384836,10435.120628536308,10646.77876858408,13322.83458926071
77 431.34334676634927,1223.147520239118,2449.6262610123913,4187.6779928953565,4445.21734310789,6146.937322298882,6599.538448447761,7978.501028696456,10779.286768039556,14376.927190382417
78 257.12321976049526,2563.872725353759,3914.887103665639,6072.8971679666465,7480.993972682916,8519.890448263828,9931.266430024645
79 2584.8563116320347,2657.077112317299,5519.752516538302,6471.324235304086,10194.024676558462,14173.640182086681
80 573.9121592292373,1121.7038924238307,2087.047891157916,7888.598998354915,9585.536338446374,9589.551400037457,10734.153833742868,11252.473025825035,12565.17104746776
81 2546.724862418928,3556.954845636584,4433.3962144703655,6030.381897603838,6222.693227472116,8044.917447457108,9010.553596650632,10458.031090153767,11137.7081591172,11378.891039943981
82 672.5420912733254,3086.4178920089366,5812.733861024869,8593.359959689205,12745.691427616897,14439.63094054738
83 782.8760189827439,2319.569256089029,2850.9731029254053,3199.9617836968296,9953.995016745504,10548.322893089575,11081.513720260478,13429.675141998789,13860.30354685992
84 382.2029367934414,4587.764837123737,5070.702852584982,5907.363180736085,10147.483134669563,11850.147971731516
85 354.6229295645917,1959.7166030832163,7695.741466371077,9149.396986186699
86 2194.000881628783,2757.0394409219953,7327.630779897406,9313.532775908929,11576.257266519711
87 1532.9368807687324,1847.103291493403,2013.6402625738729,2024.7874308485088,2583.038678427734,4137.768608138136,5305.826516392101,6487.4597798197465,8942.19049455458,10581.876786005036,11082.7198601222,14376.685399032827,14455.863335323276
88 88.12967088333359,6636.01781902663,8877.466530510905,12120.125262950438,12218.51495440555,12884.621227013826,13342.129729037366
89 5417.286712268121,8366.553032019267,9040.87006270922,13714.822337863738
90 1740.3378635406345,2540.9976087085006,2762.423650376669,5624.497081930526,6049.9150822451675,9157.262033112727
91 169.68453693503977,2064.587921505661,4452.972950494769,5525.328429453955,6759.935982155226,6821.009581425502,11663.836016486173,13196.904361288984
92 1913.7949497866787,9182.440947152385,11091.46293904552,12653.35870721021,13733.861571892283
93 3092.8844850090572,3820.4731154465644,7674.960199861776,7916.538783614553,10118.527001985462,12160.922931466166,12730.910109661707,12755.1732813391,14353.398038545822
94 3664.135211522389,4329.778716124229,5897.988111056977,6330.724632399811,14251.923035436103
95 267.29956161941084,473.06927435636163,936.2618297156707,3912.2583091028528,5801.129975612818,6289.857259668962,7749.040748684323,8132.150657813472,12820.98838529042
96 4880.6072139397365,5855.7619784858325,7958.180720995802,13451.833952565681
97 1735.231399268439,4396.502377984212,5797.95834127191,6955.4066343122995,7748.609843973713,10260.917780667789,14835.91647178811
98 2572.1936425342146,3587.401434959804,10965.225930970395,11450.30266795051,12799.439297162959
99 1330.034570373036,2625.251409531238,2963.890238875764,4736.669364102704,4736.906646728476,8205.802867016653,12996.274292829123
100 324.0370490625163,4305.9061867512555,5541.6433324196505,7707.482557295663,13513.433508806618
101 339.3104701288356,3787.221858760535,11016.922216286192,11131.170909238006,11910.677532295018,12859.191469861014,13974.094710228503,14929.066903275314
102 23.447932679922843,1011.3719610842109,3432.6937741148804,4868.068580853747,5494.438038772484,6249.882340264773,7025.229342410138,10532.14957983527,10750.088916928706,11026.551140724683,11344.702111607705
103 1225.1232839038203,2451.4195066107277,8598.121480628868,9490.348880547303,12209.24209487264
104 2639.0449610273045,2811.725891879666,2848.706190032143,4230.990375065068,9518.401769064436,9696.190538639847,9996.074586767329,10464.349768198888,10757.77406640289,10808.79081636203,10942.17662667989,11418.309451445499,12925.128227901117,13702.638436103462,14559.49859981709
105 446.91321770419006,1403.1105079321178,1612.7869924103807,4467.104435895791,7949.627947729632,8699.52322482316,9650.163446204173,9814.645216757399,12074.658166148181,13045.750902830323,13117.191238190027
106 1516.776027718153,2330.9303211358615,3065.398261835976,5583.102704901628,5755.978176847564,6592.812555023681,11877.742673348337
107 336.6401158350578,3448.3676952885744,4511.662220349364,6985.86624178114,7228.693777229405,8640.320382681986,9029.37744074787,11578.805557087688,13730.850155226812,13807.388927647607,14152.115027976739,14190.013866482112,14976.986461805478
108 213.64291793658754,1552.9798067388551,1939.528224248644,5569.223888743195,6059.930790056869,6398.326499622471,6617.589457571641,9116.429697407819,9288.560423824933,9520.131479725427,10392.076306949111,10920.859207989532,11530.106368952558,13594.45081195866
109 2412.6754035652148,3279.13401027004,5099.129867498876,6189.075755217405,6228.707299307338,9973.879309022175,11893.274041066257,12910.50842258217,13306.418923047668,13709.439349180142
110 1029.0915275858256,2966.7116420219427,4248.665076100783,4829.709057262058,8010.38659033361
111 134.0812406243325,378.216944819441,1303.925648039677,2619.9651771982726,5988.459740311856,10501.283233093112,12008.52046434037,12081.837540560231,14178.332935945717,14740.163825741804
112 6075.18561894454,10901.947301331988
113 2994.518435688439,5665.747281758486,6909.711686065492,8395.712924263016,8860.99121051568,9691.292567351573,10812.686497475468,12220.741776149807
114 6266.00098162501,6293.825656290349,6463.127850126546,7357.483386612744,11726.72471016135,12802.171005859323,13317.750786003902,13330.654847939259,14306.102755837634
115 1362.253201931233,3234.838519180803,4211.620565982838,4464.414854189962,5136.545605624272,5187.2263679089665,7262.213894496704,10919.049351297244,12688.018327416872
116 818.6313316772845,2400.0105698778184,3309.273079542747,3535.577212715047,3946.5272669960013,7886.380934037934
117 2039.5087081307363,4075.6280270075376,4354.222612596178,5202.1256677441315,8425.126970498508,9321.521904304776,13528.183366681378,14900.838046609115
118 179.1621671488503,2105.8077901565593,4815.364622955836,4855.221255141168,5821.6543543607895,7082.201830254766,7587.963667329282,12453.396855745068,14834.395207124571
119 1950.4760652114921,2854.5524370742314,6111.891684690296,8793.285468308633,12204.14014272574,12493.667579633742,13420.263035393134
120 708.5488881815419,771.6236995316134,953.5622156511556,1310.6018927545504,2195.312886462906,2456.044582537159,4272.970800961217,8769.048650010493,9638.181117636568,9798.218068914635,11678.300614306252,12436.30430150639,13041.020675654767,13165.410470285804,14194.734115608504
121 2358.646978746632,2978.213594892447,8337.242370111398,13172.143751368834
122 881.5746909508703,1805.8079257887687,2343.112032592335,2780.649540010581,7313.172914897263,14555.072150396252,14645.79448584591
123 1606.8680101638886,1782.9427357927927,5911.656857459082,10198.758947640868,11126.446965580375,12711.461689672287,13988.846988532907
124 345.8580294588813,3116.675300416197,4037.9308416559697,5159.350178051836,9989.782258533389,14044.735920970788,14804.358947270948
125 2687.8399861131647,5415.851863115893,6942.985311793446,7263.0073009109055
126 119.74465327939005,1763.0820550634023,1829.9194236396063,2668.3549668209416,4590.276737316206,8826.158503442899,11266.333032075796,11620.688840529872,12489.551117564162,14154.705895881809
127 1514.983389888703,4016.337442087093,6401.318974559612,7083.715778304289
128 2271.2015777658735,3489.5513662114436,6870.847620067466
129 2897.454696165541,6792.961253289055,10599.527300501431,13066.817887677187,13870.768898439168,14319.796299554795,14664.156990169477
130 280.05963353407105,1856.1772712634747,2410.3713915493704,3724.4658092949967,4122.85996490912,5341.663215863789,6063.395379323617,6394.883415350427,6475.021899659697,8419.14087026438,8599.795885806749,9068.319648234965,12263.611830086233,12554.916714352054
131 178.42540483630964,219.75369979321965,911.1694422103267,7523.238038398466,8586.122309178652,12694.814136747467,14405.86171412801
132 251.35668621289852,716.2544861062447,3682.108155507488,8851.145141422785,10472.954444572122,10932.237535824923,11063.86263269818,12485.51720890776,12730.051842081637,13153.412175553467,14449.357635320961
133 367.912311159724,381.3346451266332,1749.464289479768,4591.558108674597,10576.141376635689,11475.40171019325,13356.837497146114,14674.730404438957
134 546.4015796525533,841.4581211314037,4798.027404489193,5814.26884070622,7410.938171482909,10933.132216640268,11314.48422553347,14851.82848311425
135 176.47975654092357,751.8419928203989,2763.028295708662,3590.068868673176,8103.377237665256,8314.722472093408,12335.697167530801,12457.55180610451,13513.928060372209
136 76.96571376494877,646.4947002410138,2322.1208346067738,6723.101553252816,7281.426164215469,7651.10899619163,7680.579988271634,9378.738097182233,10407.849941567436,10644.365801708223,12360.601683391207,13611.79191357399,14062.549908399369,14926.887093784257
137 1727.2188280533883,2924.504942053227,6204.529181136469,7616.853920330211,8070.533407702092,8906.08736275562
138 180.40994228682985,2938.9287541185568,3850.989191347091,4536.340876116718,4635.9137355998155,5943.324908809142,7143.884449809043,9350.240340379212
139 4402.98359049968,4811.651867804696,4922.938759292421,11080.215871381588,12545.360944427997,13809.503825727794
140 187.63468782516264,1566.2232284821234,5533.3030548953375,11374.855103774085,11394.22384067654,12748.069030857701,14605.686609368651
141 8348.31243197363,9116.99603422886,9122.540212927663,13070.843258765351,13488.94724893576
142 754.6867363800258,3157.725272733512,6505.926330037371,6681.869000830962,8495.404229846099,11945.752937502473,13936.299006570573
143 2845.611754135497,3758.2117213720894,7606.436169228908
144 2212.176152731353,3089.1533549542664,8486.48248743717,9154.218048197272,9622.025516978652
145 3680.6432904004682,4519.066911122658,5717.16892712896,8933.485229458769
146 3295.26974777021,8618.08366853079,12625.191461585686
147 9293.098852126748,9783.046492059811,10983.889594617342,12894.517769519833,13919.898902162326,14045.52190156616
148 8998.217985832094,11704.578974548233,12922.825593733294,14580.404155202496
149 93.53735813689039,1363.4102401991522,3614.1969910016446,5605.599928613815,6848.364913098136,8687.13478323673,9183.085230469202,9988.67983341744,11610.189439039796,13015.321585256566
150 8295.040750078142,8967.374072218794
151 113.78459958801848,3669.6010263505336,3851.5245318348425,7659.140329102274,9300.99332628334,9364.875798181767,9731.432725458044,10337.784413961532
152 43.64840877234281,1370.7943146242812,1883.5568837858518,8320.154992416003,13210.36014509605
153 936.2180391212987,2620.408722338437,6836.863588109871
154 830.5950570887387,2045.685645075948,6636.072662110357,8413.989899592845,9544.705682912543
155 256.0633728276075,955.0777817694652,1525.3473706040052,6209.825326274783,12843.702669818646
156 11295.829669665858,11508.599642036761,12451.718617006745
157 20.757303579103286,330.99134828060187,519.7704164414453,7344.549703702224,8637.768207718187,11492.369278117483
158 386.40871589440195,1801.644684724215,2673.9975337184096,4990.235817013206,6370.365085083707,13376.229385376158,13631.606687371412,14560.616645983098
159 57.52850741855774,183.6444242419702,3165.1687848068013,9670.13866577925
160 580.5870834049002,1944.5521603488573,4400.5175003571585,6751.489181843458,9685.31941261203,10930.314290587194,11088.612947592554,13281.16625216037,13862.85168284957,14463.969582188056
161 1349.8993502767373,2508.0970532754977,3623.445049895764,4589.3330866955885,12728.831938621082,14018.506837937006
162 194.27631808256638,1481.1530258905218,3739.6603354453373,3958.661406229766,4871.0738755915045,8386.269000189826,12825.60226028692
163 9330.617712701254,11544.182892399625,12910.773773576338,13359.885437060868,13913.65425122269
164 521.5368360090887,4190.457671418807,7306.772688244224,8161.162891216549,9250.753348815686,11002.62634525029,11599.540698640927,13935.679614589586,14980.394241074398
165 1521.2636667267684,4966.891758531445,5109.484933624059,9853.025918074316,11087.800351013462,12887.736193886656
166 7958.83572450124,10691.534670729976
167 7263.657570285582,8356.792505053869,9713.32243899543,10325.384651982527,12835.277974020148,12987.071232733555,13972.352575782164
168 2946.139289892445,3994.898058516102,6339.2486730942965,6996.96243904781,12897.820681886275
169 3769.415147546727,4585.242509220254,5247.957819852764,8687.298877346831,8740.528443468775,10012.669015244808,11926.963811302641
170 57.289325581922185,3258.6578159654346,4400.512478435696,6862.532019136408,7341.015359192846,7424.198680607447,8477.32492614051,8707.47399528033,9196.860385017522
171 1315.9696705006065,2194.7415098224865,2254.0510674555485,2962.487756124677,3367.8243364449745,4459.134854239337,5456.277339485056,5555.25084111467,7678.8779764835,8116.800198573929,10041.984583272057,11225.086733006987
172 1091.9989363221487,9739.289213835897
173 994.8848474012021,1915.5967856482496,2276.6664808162545,4861.2577186255385,5235.639616543848,5566.180201185695,7056.417422490205,7219.130185023951,8953.958620150426,9048.816655415147,9750.322680766447,12388.541086341904,12630.205721388174,13488.17537658762
174 1462.6766897895495,3032.902275116049,4228.6263168123605,10921.051986653845
175 1769.1290553038102,5139.204601567408,9436.139043394533,11763.67385302771
176 774.5462264211661,1890.9784224969244,2972.036058769642,4889.01248857366,6455.991649240198,8912.388465574051,10042.479148801673,10534.5066632395
177 415.63385509967515,2240.3187125982604,2542.6023133701297,3120.7265770182385,3186.185800798054,4838.405203979217,4841.447970359435,12134.633719210717,14368.512444812372,14531.614093657445,14547.523628570392
178 4439.755136949524,7388.839468383626,10064.920598977453,14369.203193641071
179 4104.965756386007,4487.835135645331,5647.674804725779,6466.6524649261,11038.3902705281
180 1676.1937821821507,5133.025882802792,7397.204356552715,10303.75358196743,10406.371624352489,11273.498625237295,13202.408274194177,13454.021015811144,13673.20321908835,14590.168357034798
181 3349.1676235620416,4319.773901065399,6471.808477654498,6632.414145028692,10807.37322174885,10921.879208061711,12436.616039702658,13318.23678308394
182 2752.0925013157207,5875.156750272532,7144.874188947836,7803.89775306957,8232.727949543498,11189.858601913942,11914.169634553866,12985.337359289157,13912.595412837598
183 2912.6502930313663,3434.2311905353677,3515.8563155090114,13100.190014203978,13879.062339594402
184 4000.491194202964,5762.272448435155,7482.420780378829,8147.133509170396,8640.958706749736,9831.531675173273,9915.50493076242,9988.428312386097,11409.556001493034,12358.215952677614,12446.185380814026,14940.310912562627
185 378.05585588662,898.4316663048319,1575.985178566199,1801.5202175425661,2062.961459254049,3428.7522285370546,5349.26946250475,12932.405619127352,13569.524309828652,14253.365707793808
186 2403.48832069005,2520.1035744095543,6074.544540637024,8801.50307719431,8811.04980842106,9478.57447286387,9561.649362489972,13656.131647224403,13791.207280055289,14396.85577184636
187 2312.2875214641426,2970.91095139364,4816.336912401377,6117.606001493972,7992.6766048896725,8605.200118126018,9700.98955669848,14012.295159542524
188 52.28770325196236,371.3267636747229,1690.489677288851,6989.2104801243695,10590.10067861775,11092.141726948348,11320.691561235559,11448.738881140283,11634.316625975332,12931.750337113172,13372.84692651397
189 488.60840681235925,3429.0580663701676,3932.8296462599797,5020.580840948637,5673.399808612668,6741.851489782828,6964.305960144371,8902.766985278713,11371.271689193178,11452.41273006448,11488.410807437207,11669.874544836372,14078.023365152174,14320.706462676326,14692.629657753463
190 880.4356982299158,1581.3454758122377,2569.7542447553483,5770.143094942053,14048.107775148255,14327.176268270503
191 19.658590358836253,4596.902295808956,5165.013450439746,6268.585816535885,8541.078026596053,11717.624350411961
192 887.404655864898,4532.555648447277,6248.836267484927,7982.435724307457,7992.605987519276,8618.095634850739,14767.40066894414,14951.679654063977
193 8897.12056137259,14663.745845448091
194 2859.9874774213476,3356.850946842631,4528.720801531218,9104.831338575332,10979.774921699327,11076.606556027933,11179.35996656873,12235.24766222147,14024.759939721565
195 4121.446538136843,6269.785438709143,7608.110165496354,8438.868928227004,13550.471193336864,14358.045715870061,14919.548615528156
196 2930.502540578961,4437.521770816898,4895.970203346994,5683.351285480343,6906.812988794146,8190.373103861606,9007.286727923643
197 422.0570741955357,3786.4951888355567,9563.454696404358,11406.86480191729,11743.133045296747,14241.443976254925
198 1347.4576906942575,2839.9026271448984,6138.822214341849,11541.031931981659
199 678.1279640487027,1226.845822187085,2024.9158654505668,3567.1318598702865,9148.592059609156,11333.783159003337,13438.008022147886
200 876.8809910160057,3767.001781933163,6680.839912543101,7382.89218933842,8068.350776412765,8539.181051490339,8667.48150460601,10135.097689346061,12869.249060296595,13005.77020733886,14377.562196003495
201 3.2810820444536106,144.71339274726316,6189.800617338769,7127.956751458081,7891.495044204753,8467.06121266504,11083.059552301549,11701.852450433395,12464.9488562271,14156.451000917405,14677.1237966895
202 1724.0000577550584,3037.169213372486,5061.089719835672,7509.165474950236,12058.854162089108,12429.407358324792,13379.141667877482,13742.382663648947
203 1887.1704695171334,4004.681679783472,4446.6463276397435,5549.181904642285,9573.892227588298,10771.190860069059,12136.335276124079,12421.119109002386,13655.065968984365
204 1471.64012955648,8218.811254196034,10742.569833971345,13639.07154499875
205 309.4868622449359,2678.06500126044,3572.944598202351,4074.492828584207,4340.287026652756,4479.535464566625,14390.074083180938
206 430.23938419429896,3518.7115089022805,4664.810291701231,6371.126696582317,9939.95015731806,12815.030591790357,14038.663635737148
207 7398.211255361403,7975.780733624819,8380.964024746607,9015.938119290842,14450.744408763847,14884.47045294177
208 1831.0050014811777,7547.88400145882,8166.126385756876,9600.317341272408,12997.397262140064
209 2394.1218240115877,3630.61588679365,4055.347829749929,6943.561794956679,7230.804080054148,7497.271669729761,8511.926512320644,11608.93742465362
210 2138.8539148526825,9402.866834490147,9718.39958459992
211 5470.51610446168,8161.700770689927,9105.285898637263,9364.219822238318
212 409.06303052682466,2596.7064654460314,8595.67638430151,10834.398094246004,12222.540336921998,14391.133415792381
213 1523.2403254082938,2865.481636879097,3052.4017323508087,6250.7051942769485,7855.331905452867,9145.467759106039,9202.509239636795,10250.4254774742,10333.837911008666,10664.6639370469,11025.594883723134
214 1469.658424878096,2700.2980086295834,6357.708019263527,8022.361995267991,10985.13884924916,12431.954146888618
215 4107.646040152897,4144.428061300551,6076.8668249945,7330.4386758971,8626.761353736878,9577.240638457848,11859.399106673407,12679.51385787625
216 1130.2607387672758,1500.1952948468079,2657.8067241127956,7821.285398462831
217 4226.785957059785,7061.167695198514,7907.575206914394,11086.895896770466,12628.670170361193,12633.377791011091,12711.380212995029,13662.87275899069,14460.982954057878
218 1224.698208215293,1549.146522511944,2740.3415409145027,3231.5417139005244,9087.495379086891,10305.497543641734,11434.955033218308,14786.574556624375
219 27.839647189540475,2769.6153505637703,5289.246405503264,5305.464973449017,6854.730978727623,7371.1295734718005,9423.782475403388,10797.190627259979,11406.642254162178
220 1498.441452857675,4532.858101305561,6545.384286088267,10421.561691031286,10728.693090702754,12051.81328005031,12676.390137433165,13468.392760072993
221 215.56455866027156,2007.2880665228997,4411.618184026969,4707.934305277973,5185.310564082566,6920.467686147822,7857.825101556097
222 176.83989147726118,3254.405224155625,4387.582464134085,6072.660480066082,10284.404198718406,11857.737927909962,12417.662994296386,13731.57977243675,13830.890547107076
223 1042.304010574867,1865.7763922131007,2867.211134724463,5113.32882969303,6653.266509168816,8286.742211613222,10805.11252428162,12514.78289549921,12875.652038972326,14668.77560492741
224 706.3366252423093,1684.0994667749778,3384.461574397964,6426.319646751478,7317.016727158464,9966.837571379376,14126.833493089372
225 759.3102864941054,3367.8934732914613,4141.2048779200895,11709.054064524313,12122.448646038942,12265.886753307086,12507.066827116418,14044.854554035091
226 5748.400077643195,6317.3878156827195,8063.091328330655,13468.808617930445,14393.823628165732
227 409.2599964320061,1771.1659650900478,2322.864288185837,2331.537494606662,3443.070731523962,4079.345067085732,4206.114745819124,7190.3451709766405,10859.97547952038,12635.88774789915,13191.316079241273
